artist,track,url
"Selena Gomez","Fetish (feat. Gucci Mane)","https://www.youtube.com/embed/R38q_C4NApE?autoplay=1&start=41&end=71&controls=0"
"The Weeknd","São Paulo (feat. Anitta)","https://www.youtube.com/embed/AQ5NlI-SJR0?autoplay=1&start=44&end=74&controls=0"
"Conan Gray","Family Line","https://www.youtube.com/embed/0siR6U54-iE?autoplay=1&start=30&end=60&controls=0"
"d4vd","Is This Really Love?","https://www.youtube.com/embed/ktcu9NVFYSo?autoplay=1&start=55&end=85&controls=0"
"TheFrenchKris","Garçon de mon âge","https://www.youtube.com/embed/JFSp7tfrHFw?autoplay=1&start=32&end=62&controls=0"
"XXXTENTACION","changes","https://www.youtube.com/embed/f0bbDFRYD_A?autoplay=1&start=50&end=80&controls=0"
"Ariana Grande","Dangerous Woman","https://www.youtube.com/embed/TFrMDGfW_Sg?autoplay=1&start=49&end=79&controls=0"
"Arcane","这样很好 (Isha's Song) (from the series Arcane League of Legends)","https://www.youtube.com/embed/n68BF6IlGhk?autoplay=1&start=32&end=62&controls=0"
"Metro Boomin","Home (Metro Boomin & Don Toliver, Lil Uzi Vert)","https://www.youtube.com/embed/x6C82oGTkiY?autoplay=1&start=42&end=72&controls=0"
"d4vd","The Bridge","https://www.youtube.com/embed/VHkLRVz-LQA?autoplay=1&start=51&end=81&controls=0"
"Sabrina Claudio","Unravel Me","https://www.youtube.com/embed/v1hXqTn5-X8?autoplay=1&start=38&end=68&controls=0"
"Black Atlass","Fantasy","https://www.youtube.com/embed/7Z6E1tloxp0?autoplay=1&start=54&end=84&controls=0"
"XXXTENTACION","Everybody Dies In Their Nightmares","https://www.youtube.com/embed/7JGDWKJfgxQ?autoplay=1&start=38&end=68&controls=0"
"Chase Atlantic","Numb to the Feeling","https://www.youtube.com/embed/j-_vl5AXsj0?autoplay=1&start=44&end=74&controls=0"
"Bryant Barnes","I'd Rather Pretend (with d4vd)","https://www.youtube.com/embed/mQnMwl7Gtz4?autoplay=1&start=47&end=77&controls=0"
"XXXTENTACION","SAD!","https://www.youtube.com/embed/pgN-vvVVxMA?autoplay=1&start=49&end=79&controls=0"
